Quarter,Market_Vendor,Market_Share
2026Q2,Amazon,5.79
2013Q1,Asus,0.86
2013Q2,Asus,0.72
2013Q3,Asus,0.63
2013Q4,Asus,0.55
2014Q1,Asus,0.97
2014Q2,Asus,1.4
2014Q3,Asus,1.42
2014Q4,Asus,1.55
2015Q1,Asus,1.66
2015Q2,Asus,1.65
2015Q3,Asus,1.52
2015Q4,Asus,1.44
2016Q1,Asus,1.26
2016Q2,Asus,1.09
2016Q3,Asus,0.96
2016Q4,Asus,1.09
2017Q1,Asus,1.36
2017Q2,Asus,1.39
2017Q3,Asus,1.32
2017Q4,Asus,1.22
2018Q1,Asus,1.2
2018Q2,Asus,1.22
2018Q3,Asus,1.36
2018Q4,Asus,1.02
2019Q1,Asus,0.99
2019Q2,Asus,1.33
2019Q3,Asus,1.07
2019Q4,Asus,1.22
2020Q1,Asus,1.37
2020Q2,Asus,1.69
2020Q3,Asus,1.78
2020Q4,Asus,1.72
2021Q1,Asus,1.6
2021Q2,Asus,1.6
2021Q3,Asus,1.48
2021Q4,Asus,1.23
2022Q1,Asus,1.1
2022Q2,Asus,1.11
2022Q3,Asus,0.91
2022Q4,Asus,0.7
2023Q1,Asus,0.64
2023Q2,Asus,0.67
2023Q3,Asus,0.64
2023Q4,Asus,0.57
2024Q1,Asus,0.46
2024Q2,Asus,0.45
2024Q3,Asus,0.42
2024Q4,Asus,0.37
2025Q1,Asus,0.25
2025Q2,Asus,0.15
2025Q3,Asus,0.15
2025Q4,Asus,0.15
2026Q1,Asus,0.11
2026Q2,Asus,0.08
2013Q1,Google,1.67
2013Q2,Google,1.67
2013Q3,Google,1.72
2013Q4,Google,1.91
2014Q1,Google,1.97
2014Q2,Google,1.97
2014Q3,Google,1.85
2014Q4,Google,1.73
2015Q1,Google,1.66
2015Q2,Google,1.62
2015Q3,Google,1.27
2015Q4,Google,1.24
2016Q1,Google,1.15
2016Q2,Google,1.1
2016Q3,Google,1.06
2016Q4,Google,0.96
2017Q1,Google,0.77
2017Q2,Google,0.71
2017Q3,Google,0.71
2017Q4,Google,0.66
2018Q1,Google,0.61
2018Q2,Google,0.58
2018Q3,Google,0.49
2018Q4,Google,0.41
2019Q1,Google,0.36
2019Q2,Google,0.35
2019Q3,Google,0.31
2019Q4,Google,0.34
2020Q1,Google,0.33
2020Q2,Google,0.32
2020Q3,Google,0.32
2020Q4,Google,0.3
2021Q1,Google,0.28
2021Q2,Google,0.24
2021Q3,Google,0.22
2021Q4,Google,0.22
2022Q1,Google,0.18
2022Q2,Google,0.21
2022Q3,Google,0.18
2022Q4,Google,0.19
2023Q1,Google,0.18
2023Q2,Google,0.21
2023Q3,Google,0.2
2023Q4,Google,0.23
2024Q1,Google,0.17
2024Q2,Google,0.13
2024Q3,Google,0.23
2024Q4,Google,0.08
2025Q1,Google,0.09
2025Q2,Google,0.06
2025Q3,Google,0.06
2025Q4,Google,0.09
2026Q1,Google,0.16
2026Q2,Google,0.15
2013Q1,Acer,0.44
2013Q2,Acer,0.53
2013Q3,Acer,0.51
2013Q4,Acer,0.46
2014Q1,Acer,0.64
2014Q2,Acer,0.9
2014Q3,Acer,1.01
2014Q4,Acer,1.13
2015Q1,Acer,1.1
2015Q2,Acer,1.09
2015Q3,Acer,1.0
2015Q4,Acer,0.92
2016Q1,Acer,0.81
2016Q2,Acer,0.72
2016Q3,Acer,0.65
2016Q4,Acer,0.69
2017Q1,Acer,0.76
2017Q2,Acer,0.74
2017Q3,Acer,0.73
2017Q4,Acer,0.76
2018Q1,Acer,0.75
2018Q2,Acer,0.7
2018Q3,Acer,0.61
2018Q4,Acer,0.4
2019Q1,Acer,0.36
2019Q2,Acer,0.51
2019Q3,Acer,0.47
2019Q4,Acer,0.52
2020Q1,Acer,0.51
2020Q2,Acer,0.5
2020Q3,Acer,0.46
2020Q4,Acer,0.4
2021Q1,Acer,0.36
2021Q2,Acer,0.33
2021Q3,Acer,0.29
2021Q4,Acer,0.25
2022Q1,Acer,0.23
2022Q2,Acer,0.22
2022Q3,Acer,0.2
2022Q4,Acer,0.2
2023Q1,Acer,0.19
2023Q2,Acer,0.18
2023Q3,Acer,0.16
2023Q4,Acer,0.16
2024Q1,Acer,0.12
2024Q2,Acer,0.11
2024Q3,Acer,0.19
2024Q4,Acer,0.27
2025Q1,Acer,0.27
2025Q2,Acer,0.3
2025Q3,Acer,0.44
2025Q4,Acer,0.41
2026Q1,Acer,0.3
2026Q2,Acer,0.32
2013Q1,Huawei,0.0
2013Q2,Huawei,0.0
2013Q3,Huawei,0.0
2013Q4,Huawei,0.0
2014Q1,Huawei,0.0
2014Q2,Huawei,0.0
2014Q3,Huawei,0.0
2014Q4,Huawei,0.0
2015Q1,Huawei,0.0
2015Q2,Huawei,0.0
2015Q3,Huawei,0.0
2015Q4,Huawei,0.0
2016Q1,Huawei,0.0
2016Q2,Huawei,0.0
2016Q3,Huawei,0.0
2016Q4,Huawei,0.0
2017Q1,Huawei,0.0
2017Q2,Huawei,0.01
