                      OLS Regression Results                     
Dep. Variable:   ,Market_Share    ,  R-squared:         ,   0.823
Model:           ,OLS             ,  Adj. R-squared:    ,   0.786
Method:          ,Least Squares   ,  F-statistic:       ,   22.27
Date:            ,Fri, 01 May 2026,  Prob (F-statistic):,1.90e-13
Time:            ,13:01:23        ,  Log-Likelihood:    , -137.32
No. Observations:,    53          ,  AIC:               ,   294.6
Df Residuals:    ,    43          ,  BIC:               ,   314.3
Df Model:        ,     9          ,                     ,        
Covariance Type: ,nonrobust       ,                     ,        
                         ,   coef   , std err ,    t    ,P>|t| ,  [0.025 ,  0.975] 
Intercept                ,  117.3695,  287.416,    0.408, 0.685, -462.260,  696.999
Gross_Margin             ,   -0.9745,   15.671,   -0.062, 0.951,  -32.579,   30.630
np.square(Gross_Margin)  ,   -0.0018,    0.217,   -0.008, 0.993,   -0.440,    0.437
SGA_Expense              ,   -7.1683,    8.557,   -0.838, 0.407,  -24.426,   10.089
np.square(SGA_Expense)   ,    0.6519,    0.757,    0.861, 0.394,   -0.875,    2.178
np.log(Sales_Revenue)    ,   -2.0061,    2.853,   -0.703, 0.486,   -7.760,    3.748
np.log(Tablet_Shippments),    5.1282,    4.128,    1.242, 0.221,   -3.198,   13.454
RD_Expense               ,   -3.1254,   18.559,   -0.168, 0.867,  -40.553,   34.302
np.square(RD_Expense)    ,    0.1322,    0.355,    0.373, 0.711,   -0.583,    0.847
Gross_Margin:RD_Expense  ,    0.0153,    0.502,    0.030, 0.976,   -0.997,    1.027
Omnibus:      ,14.159,  Durbin-Watson:     ,   0.938
Prob(Omnibus):, 0.001,  Jarque-Bera (JB):  ,  15.283
Skew:         , 1.190,  Prob(JB):          ,0.000480
Kurtosis:     , 4.121,  Cond. No.          ,1.01e+06

Notes:
[1] Standard Errors assume that the covariance matrix of the errors is correctly specified.
[2] The condition number is large, 1.01e+06. This might indicate that there are
strong multicollinearity or other numerical problems.
